User Name,Sex,Comments,Likes,Replies
罐装桃仁,女,对啊，光说大学生傻，我从小到高中都只是在学习不用担心生活的安排和压力，然后一到大学就要求社会实践、实践创新、去各种崭新的环境，真的很割裂，没有人教我们该怎么做，不光是人情世故，很多安全问题也没有人告诉过我们，大学生只是知识水平到了一个成年人的阶段，其他的我们还是不会啊,33,
重度失眠失控橘长,保密,我没有家人，无法从家里学到基础常识，所有学习的都是在学校学的，学校不教我只能网上搜，甚至包括我怎么换卫生巾，不知道有没有像我这样的没有家的，感觉很多东西真的只能家里教，,28,
哇-嘎哩唝,男,我虽然已经28了，考入编了，但我仍然非常需要这门课，先谢谢老师了[打call],18,
不中奖不改名的白桑,保密,真的很感谢您能想到这个题材，一个人孤身在外什么也不懂，各种常识稀碎的，被社会折磨了半年，现在光是听到准备开课，都难受到想流眼泪,11,
芋芋芋泥波波,保密,这些常识不懂的话，除了可以在某红书上面看别人的经验贴，很多时候是可以通过市政热线资讯的[脸红]有些政策变化速度快，直接问官方人员更省事。说到底大学课堂更多是为专业知识服务的,6,
下水道魔王,男,有用，但是要真在大学里开了那就会被划分到那种一次只有半个班的人去没人听的混学分水课一类。感觉用网课的形式来传播更好。关注了等后续。,33,
朽木与鲜花,男,别说大学生，社畜也想听这门课。请厨子老师务必录成网课上传,96,
wasALAN,保密,这些东西都不难，需要学习的不是这些内容，而是学习这些东西的意识需要培养,6,
秦止戈先生,男,我们应该从家庭教育中获取这些知识而不是课堂[脸红],15,
周棋洛吗我老婆,女,up把上课视频录下来吧太需要真的，上学期住院手续一套一套的，出院后我以为复诊不重要甚至都没去，后来身体出了问题去复诊才发现药吃多了没有按时间减量，常识有一点但不多，离家一千多公里家里人根本顾及不到我[保卫萝卜_哭哭],22,
手机app,男,加上怎么挑选蔬菜水果,12,
浅渊龙宫门神,保密,老师不用等后续了大家真的很需要这门课[大哭][大哭]我一个学医五年毕业一年的到现在没搞懂五险一金到底怎么个事[大哭][大哭],37,
